"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL226W",6951.99130663044,-7.40145831182604,0.153761091922828,-48.1360935934353,0,0
"YLR367W",1942.65109256294,-2.76408036507767,0.209347583765452,-13.2033067464226,8.39666185376764e-40,2.18355191507228e-36
"YER002W",1415.65276042248,-1.00185052643105,0.107795185090877,-9.29401926056755,1.48569524569653e-20,2.57570032428922e-17
"YPL081W",4562.31472538971,-1.83068710343997,0.209415828103232,-8.74187553071459,2.29272005202476e-18,2.98110924764519e-15
"YOL058W",1363.3489062457,-3.15260661057381,0.397765322052367,-7.92579552764222,2.26690340954284e-15,2.35803292660646e-12
"YHR001W-A",961.177325864408,1.0857589878807,0.140490945444727,7.7283200311857,1.08975104817413e-14,9.44632533592279e-12
"YML091C",862.508812074804,0.922004646824937,0.122553430817141,7.52328711385192,5.34159441715892e-14,3.96880465194908e-11
"YLR038C",1771.47251143969,1.49245583766288,0.204989355881955,7.28065040861109,3.32214558469324e-13,2.15980989824869e-10
"YLR110C",64538.8358340025,1.18340747508538,0.166523538888782,7.10654771681113,1.18981534579368e-12,6.87581068163658e-10
"YDL198C",545.749653465979,-1.02992187728787,0.149151527247418,-6.90520503742077,5.01309679878655e-12,2.3702833136808e-09
"YJL056C",463.81313759943,-0.972807090304489,0.140860636753426,-6.90616706502166,4.97923560925017e-12,2.3702833136808e-09
"YOR065W",1637.82482374725,0.653750851816547,0.0979539707659572,6.67406177314203,2.48818801784309e-11,1.07842215673349e-08
"YHR183W",6363.35053261357,-0.907577417865982,0.136360246706346,-6.65573317581673,2.81891252621503e-11,1.1277818499111e-08
"YGR161C",268.576208134057,-1.04257683684145,0.15884186594455,-6.56361489234459,5.25187341393303e-11,1.95107097327612e-08
"YEL024W",653.600887184643,1.1405593238294,0.177275746443835,6.43381481510648,1.2444045892672e-10,3.81206807882441e-08
"YGR231C",3490.78539550229,-0.446800869273113,0.069264731792365,-6.45062584826703,1.11389189941059e-10,3.81206807882441e-08
"YPL188W",550.276968213024,0.757117637876936,0.117681462453038,6.43361853341238,1.24601340780648e-10,3.81206807882441e-08
"Q0105",6586.5341123321,2.03424166307019,0.318076468396471,6.39544846975156,1.60076821187621e-10,4.38189235261482e-08
"YOR107W",103.662565404051,1.67332645382962,0.26138327715979,6.40181143955386,1.53544225048892e-10,4.38189235261482e-08
"YER058W",250.821858307572,-1.09546826327451,0.174210968170523,-6.28817045665135,3.21229096254787e-10,8.35356264810574e-08
"YLR047C",349.583452907247,-0.714101656446094,0.114139090055112,-6.25641623830445,3.93924518917234e-10,9.75619725185015e-08
"YJL167W",9923.05953951156,-1.31753102031804,0.211235387347822,-6.23726467833057,4.45288224888585e-10,1.05270184438433e-07
"YJL153C",809.997649393471,-1.91966366105225,0.318955167686681,-6.01860027845038,1.75931711890875e-09,3.97835145019322e-07
"YLR022C",1777.01561282691,0.529687536699747,0.0891580637429739,5.94099416769231,2.83298694752903e-09,6.13931879754104e-07
"YPL111W",784.473245867355,-1.24077357719869,0.210745991309756,-5.88753109602446,3.92007430977634e-09,8.1553225940587e-07
"YDR091C",3622.699162104,0.55511268628713,0.0959986588916485,5.78250459637851,7.35965576697255e-09,1.47221421707786e-06
"YBR114W",937.325904465324,0.557969906043238,0.0973671296498113,5.73057774271483,1.00089141182607e-08,1.92801341959533e-06
