"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL226W",1518.15194701882,-6.03030988310503,0.275274453158379,-21.9065365998039,2.25060146976545e-106,1.17661444839338e-102
"YLR367W",1011.29951505222,-2.89817412758402,0.149305623410338,-19.4110178932707,6.22809908268203e-84,1.62802510021308e-80
"YFR032C-A",8104.00687862866,0.736368462277083,0.0671051812568295,10.9733473404804,5.13359938128344e-28,8.94615252178327e-25
"YHR183W",5351.74858443109,-1.01365689085632,0.0963786460407103,-10.5174427375557,7.17957807300349e-26,9.38370854141556e-23
"YJL153C",258.363924266358,-2.76352064307423,0.309073562930286,-8.9413038658941,3.84605222546628e-19,4.02143220694755e-16
"YNL067W",1812.43683648924,-1.05811927943729,0.119148424641746,-8.88068207883426,6.64516247449128e-19,5.79015156944007e-16
"YOL155C",641.803696097196,1.03454881953721,0.117175686674407,8.82903995614624,1.05578004503639e-18,7.88516867921463e-16
"YFL034C-A",443.374348057521,-0.941277908895728,0.110804272858486,-8.49496038927924,1.98000427547688e-17,1.22862661109059e-14
"YOL058W",768.129108022944,-3.19359563700706,0.376279698431849,-8.48729190098858,2.11508024097462e-17,1.22862661109059e-14
"YDR099W",2253.24640393942,-0.84589334104992,0.101732444142337,-8.31488271201274,9.18430546394574e-17,4.80155489655083e-14
"YJL167W",2014.23022128181,-1.51700007380783,0.18278204892871,-8.29950250967751,1.0454826084907e-16,4.96889370653579e-14
"YLR264W",2777.82194676915,1.50266368442854,0.186215919206927,8.0694695213396,7.06042557297205e-16,3.07599207462482e-13
"YPR133W-A",439.459943710205,1.04551321215678,0.134303105683558,7.78472848290041,6.98630798697164e-15,2.80957062737598e-12
"YEL033W",58.5115680018364,3.26254646436481,0.431528941767292,7.56043488300766,4.01723958068045e-14,1.50015203769981e-11
"YML126C",2075.35739767961,-1.23616204594096,0.164181408885382,-7.52924496344128,5.1034561134867e-14,1.7787245707539e-11
"YGL253W",7772.21922750305,-1.10806054925466,0.150482229779373,-7.36339799642275,1.79286806189311e-13,5.85819639223572e-11
"YLR167W",10165.2246245096,-0.54693981586468,0.0765861833899161,-7.14149460980574,9.23214965744176e-13,2.83915755347679e-10
"YOR167C",4471.4104655429,1.06005011843268,0.149294016680678,7.10041930682327,1.24378940216654e-12,3.61251721918149e-10
"YPL081W",707.440263523245,-2.32743792160207,0.328711740713221,-7.08048308999283,1.43652794034954e-12,3.95272003797232e-10
"YNL178W",15807.1007121018,-0.470438660951992,0.0666835512874337,-7.05479315167555,1.72857664177009e-12,4.51849934158701e-10
"YER056C-A",4175.95179938761,0.672394457146776,0.099265106060205,6.77372426055702,1.25508778793433e-11,3.12457093110508e-09
