	KO30Cr1	KO30Cr2	KO20Cr1	KO20Cr2	WT30Cr1	WT30Cr2	WT20Cr1	WT20Cr2
Q0045	719.0	1466.0	1277.0	1173.0	1458.0	1063.0	338.0	663.0
Q0050	29268.0	47579.0	56089.0	42767.0	50825.0	38481.0	19145.0	25990.0
Q0065	881.0	1593.0	1032.0	1033.0	918.0	638.0	467.0	661.0
Q0080	918.0	970.0	525.0	904.0	60.0	100.0	247.0	187.0
Q0085	1791.0	3189.0	2029.0	2810.0	1897.0	1374.0	638.0	891.0
Q0105	7739.0	10882.0	10889.0	10410.0	2638.0	1653.0	4084.0	2224.0
Q0130	785.0	1220.0	662.0	1037.0	1357.0	1171.0	423.0	283.0
Q0140	96.0	142.0	109.0	308.0	132.0	85.0	63.0	71.0
Q0250	2017.0	3347.0	2680.0	2884.0	4614.0	3599.0	1149.0	1661.0
Q0275	1575.0	2908.0	3359.0	3460.0	1362.0	1131.0	1141.0	2470.0
YAL001C	2082.0	2617.0	2486.0	2569.0	3401.0	2452.0	2708.0	2573.0
YAL002W	934.0	1287.0	987.0	833.0	1323.0	1049.0	1101.0	1031.0
YAL003W	62270.0	75403.0	71102.0	65774.0	39547.0	38704.0	64434.0	66374.0
YAL005C	10105.0	14964.0	5855.0	5061.0	15988.0	15490.0	9610.0	13041.0
YAL007C	2083.0	2737.0	2810.0	1965.0	3216.0	2894.0	2688.0	2973.0
YAL008W	754.0	1025.0	1027.0	753.0	727.0	662.0	731.0	782.0
YAL009W	282.0	394.0	398.0	356.0	565.0	539.0	388.0	370.0
YAL010C	492.0	504.0	436.0	384.0	490.0	412.0	437.0	307.0
YAL011W	488.0	599.0	705.0	584.0	1059.0	907.0	675.0	589.0
YAL012W	3724.0	4169.0	2983.0	2589.0	4971.0	4804.0	2840.0	3176.0
YAL013W	363.0	455.0	723.0	446.0	851.0	926.0	592.0	514.0
YAL014C	612.0	643.0	923.0	646.0	1433.0	1373.0	632.0	714.0
YAL015C	477.0	574.0	590.0	454.0	935.0	731.0	580.0	573.0
YAL016W	3699.0	4592.0	5006.0	4414.0	5430.0	5002.0	4134.0	4433.0
YAL017W	2742.0	3381.0	3653.0	3090.0	4116.0	3573.0	3968.0	3427.0
YAL019W	3544.0	4465.0	5148.0	4561.0	8738.0	7333.0	3879.0	3654.0
YAL020C	523.0	645.0	777.0	608.0	675.0	591.0	423.0	372.0
YAL021C	2198.0	2615.0	2700.0	2117.0	4340.0	4108.0	2511.0	2453.0
YAL022C	1232.0	1735.0	2289.0	1875.0	2570.0	2428.0	1263.0	1377.0
YAL023C	5080.0	6418.0	5242.0	4687.0	13066.0	11845.0	5677.0	7039.0
YAL024C	1306.0	1742.0	1503.0	1300.0	2311.0	1813.0	1351.0	1204.0
YAL025C	2852.0	3469.0	4842.0	4654.0	5069.0	4550.0	3013.0	3029.0
YAL026C	2780.0	3673.0	4565.0	3711.0	4310.0	3482.0	3922.0	4292.0
YAL027W	415.0	445.0	566.0	493.0	592.0	587.0	641.0	494.0
YAL028W	139.0	199.0	240.0	202.0	313.0	254.0	178.0	206.0
YAL029C	3056.0	4263.0	4313.0	3947.0	6933.0	5485.0	3995.0	3900.0
YAL030W	1425.0	1512.0	1497.0	741.0	1876.0	1921.0	1712.0	1061.0
YAL031C	438.0	505.0	536.0	414.0	650.0	578.0	432.0	468.0
YAL032C	469.0	608.0	736.0	638.0	747.0	669.0	646.0	621.0
YAL033W	460.0	557.0	515.0	540.0	661.0	621.0	544.0	547.0
YAL034C	88.0	134.0	127.0	127.0	140.0	118.0	103.0	100.0
YAL034W-A	337.0	411.0	402.0	414.0	515.0	434.0	347.0	316.0
YAL035W	17832.0	21538.0	26643.0	23088.0	36342.0	32629.0	22465.0	20214.0
YAL036C	1394.0	1735.0	1675.0	1618.0	2743.0	2487.0	1096.0	1702.0
YAL037W	48.0	62.0	80.0	69.0	91.0	70.0	48.0	78.0
YAL038W	47875.0	74183.0	69292.0	63322.0	149395.0	152594.0	41998.0	84756.0
YAL039C	375.0	414.0	505.0	443.0	758.0	682.0	606.0	567.0
YAL040C	156.0	190.0	165.0	162.0	265.0	204.0	157.0	177.0
YAL041W	1681.0	2198.0	2046.0	1784.0	3240.0	2674.0	1673.0	1692.0
YAL042W	6143.0	8099.0	9583.0	7697.0	11249.0	10557.0	8053.0	8314.0
YAL043C	1448.0	1675.0	2124.0	1672.0	2350.0	2431.0	1350.0	1349.0
YAL044C	3917.0	4868.0	2981.0	2258.0	8756.0	8134.0	3147.0	5483.0
