	KO30Cr1	KO30Cr2	KO20Cr1	KO20Cr2	WT30Cr1	WT30Cr2	WT20Cr1	WT20Cr2
Q0045	60.0	43.0	33.0	60.0	42.0	31.0	7.0	9.0
Q0050	17.0	19.0	12.0	21.0	12.0	14.0	8.0	6.0
Q0065	2.0	4.0	2.0	6.0	1.0	5.0	1.0	1.0
Q0080	16.0	21.0	6.0	3.0	18.0	14.0	2.0	5.0
Q0085	119.0	119.0	36.0	96.0	147.0	107.0	14.0	54.0
Q0105	41.0	53.0	12.0	26.0	40.0	24.0	8.0	17.0
Q0130	103.0	93.0	29.0	56.0	136.0	104.0	6.0	30.0
Q0140	10.0	12.0	4.0	13.0	14.0	15.0	3.0	5.0
Q0250	76.0	98.0	59.0	83.0	84.0	61.0	15.0	30.0
Q0275	140.0	117.0	44.0	64.0	105.0	98.0	10.0	40.0
YAL001C	104.0	109.0	227.0	202.0	172.0	207.0	237.0	118.0
YAL002W	39.0	42.0	78.0	80.0	62.0	60.0	78.0	37.0
YAL003W	6681.0	7180.0	21477.0	19610.0	12225.0	16073.0	16438.0	8597.0
YAL005C	4240.0	4764.0	4213.0	4516.0	6481.0	9474.0	6924.0	3274.0
YAL007C	309.0	317.0	635.0	600.0	526.0	666.0	720.0	354.0
YAL008W	124.0	134.0	317.0	302.0	169.0	227.0	165.0	98.0
YAL009W	27.0	25.0	60.0	48.0	40.0	42.0	45.0	17.0
YAL010C	38.0	36.0	93.0	75.0	67.0	68.0	51.0	35.0
YAL011W	54.0	38.0	113.0	95.0	61.0	83.0	112.0	60.0
YAL012W	2109.0	2204.0	4360.0	4181.0	2939.0	4267.0	3543.0	1873.0
YAL013W	97.0	115.0	312.0	294.0	150.0	189.0	227.0	112.0
YAL014C	45.0	57.0	129.0	123.0	78.0	81.0	137.0	49.0
YAL015C	31.0	27.0	74.0	89.0	35.0	51.0	73.0	31.0
YAL016W	802.0	830.0	2249.0	2057.0	1167.0	1494.0	1540.0	799.0
